"eir","Access","Resistance_Level","Dosage","Fitness","IC50_S","half_life","MKR","Diagnostic","Dosage_2","seed","seasonality","scenario_name","Indicator","Treated_1","Treated_2","Treated_5","Treated_10","Treated_15","Treated_20","Treated_30","Treated_40","Treated_90","Treated_Total","Treated_infect_1","Treated_infect2","Treated_infect5","Treated_infect10","Treated_infect15","Treated_infect20","Treated_infect30","Treated_infect40","Treated_infect90","Treated_infectTotal"
150,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_11_2.txt",NA,0.0663478134674747,0.091419060895702,0.0588172561010764,0.0294380378545849,0.0155560731806253,0.00956303408313834,0.0048385548766174,0.00258203304044357,0.00147426671902705,0.0206852459016393,0.108909130479517,0.114777677251557,0.0682933319954462,0.0320743334295419,0.0165391922420325,0.0101914852950469,0.00530186803592769,0.00309011640834416,0.00205041357203006,0.0242099845042527
250,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_12_2.txt",NA,0.0724728470695238,0.0945163411830023,0.0612020914685295,0.0288993780899099,0.0139496795575914,0.00743834316818304,0.00461365666427813,0.00270290288095372,0.00143948783833118,0.0208234972677596,0.112121035896273,0.115629623983007,0.0697005244500691,0.0312133553065897,0.0148236725651724,0.00797593287642442,0.00515373732942417,0.00326880670065898,0.00190550678539542,0.024181446043115
5,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_13_2.txt",NA,0.0261591883773772,0.0512257635434834,0.0611512766320638,0.0626668597210649,0.0595215873371109,0.054224585543258,0.0439500589961478,0.0301204395554086,0.014801907981123,0.044192349726776,0.210299261561508,0.234543341626631,0.252879883872352,0.189917172324845,0.135229141501653,0.104150863536419,0.0740382691156105,0.0474036944800563,0.0223119882530639,0.0931295003205994
10,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_14_2.txt",NA,0.0441025129304502,0.0809733655603953,0.0868597875921149,0.0790450875021072,0.066247875366746,0.0544030679904362,0.0408998673821819,0.0240426152403944,0.0123378814601694,0.0501071038251366,0.21183570286533,0.249405466135731,0.239759946591174,0.167747214648079,0.111579765657711,0.0808890251286262,0.0556109612566922,0.0309166673097462,0.0160015747962806,0.0825654683453837
15,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_15_2.txt",NA,0.0557817491177519,0.0985584222248082,0.100839160380978,0.0865531049898516,0.0680794027274405,0.0520767218142715,0.0372823012838566,0.0217134430089686,0.00965270137056657,0.0523666666666667,0.217044976093522,0.257464519647618,0.22871639787964,0.155260343233033,0.101952480954558,0.0704587524647836,0.0467171211596043,0.0262900693904087,0.0119871072380779,0.0782790422092675
20,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_16_2.txt",NA,0.0648816504724213,0.110928098833208,0.110415811889054,0.0890048437077538,0.0676670779018238,0.0520317910119333,0.0359369722576813,0.0199673409657756,0.00929747912875715,0.0539775956284153,0.21398299424365,0.256137861819813,0.226690019084718,0.146749384510616,0.0955394261775774,0.0673641157975521,0.0436866705445781,0.0235179649809984,0.0114861502220806,0.0770444619489772
25,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_17_2.txt",NA,0.0724320675296118,0.120663327551926,0.114842007571453,0.0909597046827832,0.0667618415361483,0.048688287704817,0.0326678871189084,0.0190548534757964,0.00783630841701185,0.0540486338797814,0.217854656012281,0.263637692786571,0.219172904451443,0.142231977325664,0.0899145843751014,0.0606066502572484,0.0386613712121311,0.0221797865073095,0.009627913769356,0.0746138483366633
30,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_18_2.txt",NA,0.0776756448526549,0.127842069169674,0.118941128960303,0.0916589118606479,0.0653176710287505,0.0475829839020354,0.0307113859901377,0.0169268385588964,0.00752459590443923,0.0541306010928962,0.217865984067173,0.263375855619153,0.21789846763485,0.138337090544105,0.0858933092928932,0.0584809184855053,0.035787849712191,0.0193993902960364,0.00940159981976639,0.0734535051577847
40,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_19_2.txt",NA,0.0880363770215614,0.138000821551275,0.12783342457002,0.0934021236298244,0.0643488346037179,0.0456655333860419,0.0289297353762274,0.0154455936278039,0.00687584582232119,0.0552191256830601,0.22277246131743,0.264160673306061,0.217892482891643,0.133571077010497,0.081753809299732,0.0547806105741249,0.0332955536989252,0.0177041096928269,0.00876624223781328,0.073220639385109
50,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_20_2.txt",NA,0.0914717286473488,0.143908107425492,0.129105110347277,0.0929473784806692,0.0639436547547938,0.0454201377995132,0.0284788131872027,0.0147950578206052,0.00659903363822875,0.0553879781420765,0.212646126436563,0.257363380783238,0.208187366443689,0.128435585586684,0.0796031814240006,0.0537314771995658,0.0326414341367209,0.017081585829552,0.00861286296626764,0.0724937273586947
