"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.0287632314248193,-0.00975820511310152,0.00907858299773339,25,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0279721406026545,-0.00971735028214875,0.00888814189911785,26,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0291247647768449,-0.0104331538273476,0.00894476941033717,27,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0290541696292931,-0.0109808930009972,0.00853517546353229,28,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0284394543780057,-0.010889874153468,0.00827322267696555,29,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0282978738799379,-0.0100699748276985,0.00915526358165774,30,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0287132198325016,-0.0103218833015775,0.00902085997104255,31,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.028599074684674,-0.0111221538801643,0.0082758054138049,32,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0284147617836271,-0.0107970745395467,0.00828412421777287,33,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0289849489490337,-0.0107222881983106,0.0084504605245129,34,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0281805955677371,-0.0104019359046258,0.00841528946378787,35,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0295073147058162,-0.0110845344710242,0.00732634504040938,36,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0281518401329165,-0.0102337992304947,0.00740518465328761,37,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0289732464595327,-0.0104354625409744,0.00781607897552716,38,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0284877198961225,-0.0100004693204363,0.00871820095214307,39,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
NA,NA,NA,40,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0303765962875937,-0.0115635212134279,0.00758456431694565,1,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0299251030172499,-0.0117495450509838,0.00698439921539225,2,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0285848936880513,-0.0103322824179448,0.00876792451525957,3,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0289766068701206,-0.0114992202651322,0.00769358780554205,4,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0291253705158776,-0.010098678807633,0.00859369252743022,5,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0287002199692224,-0.011041671207966,0.00838237167198198,6,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0289260452055978,-0.0113483181898236,0.00795683419881221,7,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0279747888904297,-0.0100619858620742,0.00919707334081186,8,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0279601220039235,-0.00933072045273154,0.00951122730596725,9,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0282618968215662,-0.010136775484877,0.00881614297172444,10,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0271661171755672,-0.00938053980129,0.00925947486019397,11,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0281084473462226,-0.00960956072958537,0.00856124904064236,12,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0281667075182167,-0.00995554689391198,0.00915718457772184,13,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0274811201191707,-0.0105820447346424,0.00825665889102698,14,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
