"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","nHostDrugConcNonZero_4","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
101,1e+05,71500,98842.5,33846,0.0201812,8293,10721,1330120,84156.4,4129320,23575500,7.31297,3.12425,0,0,8403,69924,9544,24291,1988,0,22645,0,0,-80274.9,0,0.940495082856505,0.0595049171434947,0.879901343937182,0.120098656062818,0.92435024163781,0.0756497583621903
102,1e+05,71548,98842.1,33807,0.0204517,8317,10729,1330990,82695.4,4129320,23575500,7.31297,3.12295,0,0,8422,69976,9519,24213,2064,0,22763,0,0,-80662.7,0,0.941503675428777,0.0584963245712236,0.880256619913202,0.119743380086798,0.921452220573125,0.0785477794268752
103,1e+05,71654,98842.7,33877,0.0201702,8308,10752,1333500,83278.1,4129320,23575500,7.31297,3.12974,0,0,8433,70080,9558,24331,1994,0,22685,0,0,-80269.8,0,0.941220082382696,0.0587799176173037,0.879981918179763,0.120018081820237,0.924254510921178,0.0757454890788224
104,1e+05,71640,98842,33870,0.0203734,8388,10874,1330670,81458.8,4129320,23575500,7.31297,3.11951,0,0,8527,70092,9470,24351,2032,0,22845,0,0,-80792.2,0,0.942314893655593,0.0576851063444071,0.880973328976144,0.119026671023856,0.922980707273623,0.0770192927263768
105,1e+05,71662,98842.5,33913,0.0202921,8289,10786,1335930,79189.9,4129320,23575500,7.31297,3.12607,0,0,8397,70139,9347,24196,2003,0,22835,0,0,-80785.1,0,0.944040148117485,0.0559598518825154,0.882406964748509,0.117593035251491,0.923546700255735,0.0764532997442651
106,1e+05,71840,98843.7,33840,0.0203287,8355,10770,1341710,80424.9,4129320,23575500,7.31297,3.14155,0,0,8457,70288,9358,24274,2033,0,22922,0,0,-81306.3,0,0.943447769968939,0.056552230031061,0.88250508500113,0.11749491499887,0.922720188542973,0.0772798114570266
107,1e+05,71792,98843.3,33963,0.0205758,8429,10786,1344530,76210.4,4129320,23575500,7.31297,3.13853,0,0,8556,70254,9306,24444,1951,0,22912,0,0,-81075.1,0,0.946358673266418,0.053641326733582,0.883031674208145,0.116968325791855,0.926084485698049,0.0739155143019511
108,1e+05,71739,98844.4,33912,0.0204147,8382,10816,1346770,79279.5,4129320,23575500,7.31297,3.15025,0,0,8500,70213,9281,24277,1946,0,22988,0,0,-81313.5,0,0.944406207498407,0.0555937925015927,0.883249050242786,0.116750949757214,0.9257903367273,0.0742096632726995
109,1e+05,72008,98843.6,34225,0.0204369,8294,10790,1344960,76171.1,4129320,23575500,7.31297,3.1394,0,0,8401,70503,9339,24666,2045,0,22857,0,0,-81089.9,0,0.946401074468077,0.0535989255319231,0.883031487187195,0.116968512812805,0.923439781363483,0.0765602186365168
110,1e+05,71955,98844.2,34185,0.0206071,8304,10705,1345950,76829.3,4129320,23575500,7.31297,3.14302,0,0,8434,70450,9222,24666,1983,0,22784,0,0,-80635.1,0,0.946000549769033,0.053999450230967,0.884250426749674,0.115749573250326,0.925588202183947,0.0744117978160531
