"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality"
-0.0453374064198686,-0.00225052962114214,0.0694194800825153,29,"MKR_short",1,1,1,1,"sesonality1"
-0.0448753514844179,-0.00188805928274173,0.0675695407082172,30,"MKR_short",1,1,1,1,"sesonality1"
-0.0464770963330316,-0.00455920237407886,0.0670618806537082,31,"MKR_short",1,1,1,1,"sesonality1"
-0.0445052973828544,-0.00311281966787013,0.0687954326758839,32,"MKR_short",1,1,1,1,"sesonality1"
-0.0448708688169913,-0.00236889492310893,0.0657515023095881,33,"MKR_short",1,1,1,1,"sesonality1"
-0.0445875489659934,-0.00186057446286259,0.0680886539568584,34,"MKR_short",1,1,1,1,"sesonality1"
-0.0456131124398547,-0.0039048872945824,0.0655476773721814,35,"MKR_short",1,1,1,1,"sesonality1"
-0.0437680332014538,-0.00222012760732923,0.0682507014576146,36,"MKR_short",1,1,1,1,"sesonality1"
-0.044754635011237,-0.00371714298066044,0.0643599781104103,37,"MKR_short",1,1,1,1,"sesonality1"
-0.044561373247705,-0.00360331235475277,0.0673870368036287,38,"MKR_short",1,1,1,1,"sesonality1"
-0.0443225761847783,-0.00217127818534058,0.0671210819241054,39,"MKR_short",1,1,1,1,"sesonality1"
NA,NA,NA,40,"MKR_short",1,1,1,1,"sesonality1"
-0.0253457568892679,0.027649979158213,0.110906507957054,1,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0258247618821083,0.027784856968226,0.108341230220842,2,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0287327626388662,0.0255615400409417,0.105971872316802,3,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0288438719351154,0.0236915625049096,0.103729686497511,4,"C_max_IC50",1,1,1,1,"sesonality1"
-0.031182239480287,0.021333090352716,0.100645121541475,5,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0329677041188188,0.0179407666208863,0.0955558653778943,6,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0353741621274295,0.0144820577267271,0.089824500633451,7,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0373666436003818,0.0115756600028562,0.0852559360117642,8,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0384201365058314,0.00820086814714251,0.0801945743751405,9,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0407788589972659,0.00563797342334049,0.0785860390400176,10,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0422362784113327,0.00303789266404124,0.0743871780944314,11,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0435247118484526,0.000995515305632408,0.0690568251318742,12,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0447029693422982,-0.00242393662847541,0.0656143747057413,13,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0460706464561736,-0.00507640389789184,0.0607679362545999,14,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0481898518966823,-0.00761517368908504,0.0558159155691185,15,"C_max_IC50",1,1,1,1,"sesonality1"
-0.048592907310314,-0.00985673948223669,0.0525627282939358,16,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0520120925755989,-0.012476525442122,0.0465386751770856,17,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0517391586555353,-0.0122605778881419,0.0465022401517921,18,"C_max_IC50",1,1,1,1,"sesonality1"
-0.052800074971945,-0.0149767086386994,0.0407420280733621,19,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0542037258221384,-0.0165662422360065,0.0384118193245829,20,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0547709924586095,-0.0182082637247936,0.0327689711254688,21,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0565216375715191,-0.0203566211323248,0.0282480103641796,22,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0575937682686033,-0.0227037949324475,0.0222323221146952,23,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0597777984132803,-0.0228753305477789,0.0230273550056488,24,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0590866837614941,-0.0229497742087233,0.019525823683881,25,"C_max_IC50",1,1,1,1,"sesonality1"
-0.061192616126872,-0.0243995192704433,0.0177315063289128,26,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0641542142581998,-0.0283303234829018,0.00976268780012503,27,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0652305831813933,-0.030171394068208,0.00783112752265788,28,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0633717126481028,-0.0302212439630275,0.00502342044313486,29,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0661695226025113,-0.0309670537650735,0.00376605795713976,30,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0654742194177979,-0.0297894857342204,0.00365239511291994,31,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0661741916958084,-0.034264424430239,0.00188407660224247,32,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0683118036939473,-0.0357248232197663,-0.0026866085177331,33,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0690569639504403,-0.036526307182048,-0.0051468527769295,34,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0684884318213644,-0.0365096880390946,-0.00564568528848321,35,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0693695414228252,-0.0378596197373119,-0.00802099890398594,36,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0633084669106848,-0.0366827251171013,-0.00748814807951897,37,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0674439580941818,-0.03840463227559,-0.00956824019512056,38,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0648933249408624,-0.0339488246919546,-0.00906852125445066,39,"C_max_IC50",1,1,1,1,"sesonality1"
NA,NA,NA,40,"C_max_IC50",1,1,1,1,"sesonality1"
-0.0769670185981616,-0.0354884876035936,0.0434372775393672,1,"Fitness",1,1,1,1,"sesonality2"
-0.0756415551733632,-0.0355546384289453,0.045845881002164,2,"Fitness",1,1,1,1,"sesonality2"
-0.0739737760372275,-0.0314784138408418,0.0520564829963701,3,"Fitness",1,1,1,1,"sesonality2"
-0.0725183865096903,-0.029684466652777,0.0497214096645743,4,"Fitness",1,1,1,1,"sesonality2"
-0.0712429550432264,-0.0281297695308281,0.0540837890581834,5,"Fitness",1,1,1,1,"sesonality2"
-0.0690094481791592,-0.0262835611845908,0.0529231839090857,6,"Fitness",1,1,1,1,"sesonality2"
-0.0672838038459649,-0.0229209921999276,0.0534273816710977,7,"Fitness",1,1,1,1,"sesonality2"
-0.0661289390803647,-0.0239381059477891,0.0564427311542756,8,"Fitness",1,1,1,1,"sesonality2"
-0.0637080914524155,-0.0213134873464458,0.0570330458285354,9,"Fitness",1,1,1,1,"sesonality2"
-0.0632792872200689,-0.0204463426792846,0.0610841760916157,10,"Fitness",1,1,1,1,"sesonality2"
-0.0597237205489516,-0.0160208615349347,0.0646438115264679,11,"Fitness",1,1,1,1,"sesonality2"
-0.0584846061805714,-0.0155813719811799,0.0620388210094969,12,"Fitness",1,1,1,1,"sesonality2"
-0.0552855276561779,-0.0119826102946883,0.0657785875439432,13,"Fitness",1,1,1,1,"sesonality2"
-0.0543650719181292,-0.0118149768932687,0.0668706352034273,14,"Fitness",1,1,1,1,"sesonality2"
-0.0515010460685353,-0.00701463640873651,0.0714018825871907,15,"Fitness",1,1,1,1,"sesonality2"
-0.0494594445641297,-0.00662511400010922,0.0741609482738802,16,"Fitness",1,1,1,1,"sesonality2"
-0.0471895828697631,-0.00478252255730911,0.0750409578631806,17,"Fitness",1,1,1,1,"sesonality2"
-0.0454218830584394,-0.00291291014575812,0.0758294435181284,18,"Fitness",1,1,1,1,"sesonality2"
-0.0424195163593247,0.00149248510430862,0.079604501804734,19,"Fitness",1,1,1,1,"sesonality2"
-0.0399483633098475,0.00372251683936613,0.0823096804910364,20,"Fitness",1,1,1,1,"sesonality2"
-0.0382772937467045,0.0049128846487932,0.0825117502802925,21,"Fitness",1,1,1,1,"sesonality2"
-0.0348129085820114,0.0090180103661234,0.0866528986456152,22,"Fitness",1,1,1,1,"sesonality2"
-0.0332090993447409,0.0104747850834741,0.0874674133265022,23,"Fitness",1,1,1,1,"sesonality2"
-0.0300334585047058,0.0147691274103593,0.0908632084273978,24,"Fitness",1,1,1,1,"sesonality2"
-0.0281965862451721,0.0157481843712807,0.0932282357923016,25,"Fitness",1,1,1,1,"sesonality2"
-0.0249190433688593,0.0197196680515778,0.0947608118449708,26,"Fitness",1,1,1,1,"sesonality2"
-0.0226121706504821,0.021461846602773,0.0975937014211552,27,"Fitness",1,1,1,1,"sesonality2"
-0.0191436561157592,0.0252058530729195,0.101246422096447,28,"Fitness",1,1,1,1,"sesonality2"
